,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
0,param_2_1,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,-12,-16
1,param_2_2,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,-8,-14
2,param_2_3,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,0,-12
3,param_2_4,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,0,-12
4,param_2_6,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,-9,-14
5,param_2_7,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,-8,-13
6,param_2_8,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,-7,-12
7,param_2_9,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,-12,-12
8,param_2_10,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,-11,-14
9,param_2_11,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,0,-12
10,param_2_12,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,0,-12
11,param_2_13,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,0,-12
12,param_2_14,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,0,-12
13,param_2_15,"risk:[0.0, 0.0]","int:[-1, -1]",0.0,0,-12
14,param_2_1,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
15,param_2_2,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
16,param_2_3,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
17,param_2_4,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
18,param_2_6,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
19,param_2_7,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
20,param_2_8,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
21,param_2_9,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-11
22,param_2_10,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
23,param_2_11,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
24,param_2_12,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
25,param_2_13,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
26,param_2_14,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
27,param_2_15,"risk:[0.0, 0.0]","int:[0, 0]",0.0,0,-12
28,param_2_1,"risk:[0.25, 0.0]","int:[-1, -1]",0.5,-12,-16
29,param_2_2,"risk:[0.25, 0.0]","int:[-1, -1]",0.5,-8,-14
30,param_2_3,"risk:[0.25, 0.0]","int:[-1, -1]",0.5,0,-12
