,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
0,param_13_1,"[0.0, 0.0]","[-1, -1]",0,-19,-12
1,param_13_1,"[0.25, 0.0]","[-1, -1]",0,-15,-6
2,param_13_1,"[0.5, 0.0]","[-1, -1]",0,-8,0
3,param_13_1,"[0.75, 0.0]","[-1, -1]",0,-8,0
4,param_13_1,"[1.0, 0.0]","[-1, -1]",0,-8,0
5,param_13_1,"[0.0, 0.25]","[-1, -1]",0,-15,-6
6,param_13_1,"[0.25, 0.25]","[-1, -1]",0,-5,8
7,param_13_1,"[0.5, 0.25]","[-1, -1]",0,-5,7
8,param_13_1,"[0.75, 0.25]","[-1, -1]",0,-5,7
9,param_13_1,"[1.0, 0.25]","[-1, -1]",0,-5,7
10,param_13_1,"[0.0, 0.5]","[-1, -1]",0,-8,5
11,param_13_1,"[0.25, 0.5]","[-1, -1]",0,0,11
12,param_13_1,"[0.5, 0.5]","[-1, -1]",0,0,11
13,param_13_1,"[0.75, 0.5]","[-1, -1]",0,0,11
14,param_13_1,"[1.0, 0.5]","[-1, -1]",0,0,11
15,param_13_1,"[0.0, 0.75]","[-1, -1]",0,-8,5
16,param_13_1,"[0.25, 0.75]","[-1, -1]",0,0,11
17,param_13_1,"[0.5, 0.75]","[-1, -1]",0,0,11
18,param_13_1,"[0.75, 0.75]","[-1, -1]",0,0,11
19,param_13_1,"[1.0, 0.75]","[-1, -1]",0,0,11
20,param_13_1,"[0.0, 1.0]","[-1, -1]",0,-8,5
21,param_13_1,"[0.25, 1.0]","[-1, -1]",0,0,11
22,param_13_1,"[0.5, 1.0]","[-1, -1]",0,0,11
23,param_13_1,"[0.75, 1.0]","[-1, -1]",0,0,11
24,param_13_1,"[1.0, 1.0]","[-1, -1]",0,0,11
25,param_13_1,"[0.0, 0.0]","[-1, 0]",0,-11,-12
26,param_13_1,"[0.25, 0.0]","[-1, 0]",0,-7,-6
27,param_13_1,"[0.5, 0.0]","[-1, 0]",0,0,0
28,param_13_1,"[0.75, 0.0]","[-1, 0]",0,0,0
29,param_13_1,"[1.0, 0.0]","[-1, 0]",0,0,0
30,param_13_1,"[0.0, 0.25]","[-1, 0]",0,-11,-6
