,param,risk,int,agent,cumlative_risk,travel_time,request_time
0,param_4_13,"[1.0, 0.75]","[0, -1]",pomdp,0,34,12
1,param_4_13,"[1.0, 0.75]","[0, -1]",myopic,0.0,28,12
2,param_4_13,"[1.0, 0.75]","[0, -1]",egostistical,0,34,0
3,param_5_13,"[1.0, 0.75]","[0, -1]",pomdp,0,34,19
4,param_5_13,"[1.0, 0.75]","[0, -1]",myopic,0.0,28,12
5,param_5_13,"[1.0, 0.75]","[0, -1]",egostistical,0,34,0
6,param_4_9,"[1.0, 0.75]","[0, -1]",pomdp,0,25,16
7,param_4_9,"[1.0, 0.75]","[0, -1]",myopic,0,25,12
8,param_4_9,"[1.0, 0.75]","[0, -1]",egostistical,0,29,0
9,param_5_9,"[1.0, 0.75]","[0, -1]",pomdp,0,25,15
10,param_5_9,"[1.0, 0.75]","[0, -1]",myopic,0,25,12
11,param_5_9,"[1.0, 0.75]","[0, -1]",egostistical,0,29,0
