,agent,intervention,risk-ave,risk-var,risk-count,trav-ave,trav-var,req-ave,req-var
0,pomdp,"[-1, -1]",0.02666666666666667,0.11249876212430468,20,27.888,5.710787240748066,14.896,7.108205697311672
1,pomdp,"[-1, 0]",0.02666666666666667,0.11249876212430468,20,22.434666666666665,4.67446966688914,8.997333333333334,4.2473638673590095
2,pomdp,"[0, -1]",0.029333333333333333,0.11765686233663535,22,24.090666666666667,6.4573709765429115,12.861333333333333,6.190122659392495
3,pomdp,"[0, 0]",0.029333333333333333,0.11765686233663535,22,18.336,3.8687227921861695,8.050666666666666,3.30856825317508
4,myopic,"[-1, -1]",0.064,0.1788555417448233,45,29.805333333333333,5.5775498553210445,12.0,0.0
5,myopic,"[-1, 0]",0.064,0.1788555417448233,45,24.754666666666665,4.028451399404224,12.0,0.0
6,myopic,"[0, -1]",0.06933333333333333,0.1842554995829425,49,23.304,4.863193642701996,12.0,0.0
7,myopic,"[0, 0]",0.06933333333333333,0.1842554995829425,49,19.112,3.0901326486246927,12.0,0.0
8,egostistical,"[-1, -1]",0.196,0.28248325869660007,132,27.0,6.489399006475148,0.0,0.0
9,egostistical,"[-1, 0]",0.196,0.28248325869660007,132,27.0,6.489399006475148,0.0,0.0
10,egostistical,"[0, -1]",0.196,0.28248325869660007,132,27.0,6.489399006475148,0.0,0.0
11,egostistical,"[0, 0]",0.196,0.28248325869660007,132,27.0,6.489399006475148,0.0,0.0
