,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
0,param_13_1,"[0.0, 0.0]","[-1, -1]",0.0,-12,-16
1,param_13_1,"[0.25, 0.0]","[-1, -1]",0.0,-8,-10
2,param_13_1,"[0.5, 0.0]","[-1, -1]",0.0,-3,-4
3,param_13_1,"[0.75, 0.0]","[-1, -1]",0.0,-3,-4
4,param_13_1,"[1.0, 0.0]","[-1, -1]",0.0,-3,-4
5,param_13_1,"[0.0, 0.25]","[-1, -1]",0.0,-8,-10
6,param_13_1,"[0.25, 0.25]","[-1, -1]",0.0,2,4
7,param_13_1,"[0.5, 0.25]","[-1, -1]",0.0,0,3
8,param_13_1,"[0.75, 0.25]","[-1, -1]",0.0,0,3
9,param_13_1,"[1.0, 0.25]","[-1, -1]",0.0,0,3
10,param_13_1,"[0.0, 0.5]","[-1, -1]",0.0,-6,1
11,param_13_1,"[0.25, 0.5]","[-1, -1]",0.0,2,7
12,param_13_1,"[0.5, 0.5]","[-1, -1]",0.0,0,7
13,param_13_1,"[0.75, 0.5]","[-1, -1]",0.0,0,7
14,param_13_1,"[1.0, 0.5]","[-1, -1]",0.0,0,7
15,param_13_1,"[0.0, 0.75]","[-1, -1]",0.0,-6,1
16,param_13_1,"[0.25, 0.75]","[-1, -1]",0.0,2,7
17,param_13_1,"[0.5, 0.75]","[-1, -1]",0.0,0,7
18,param_13_1,"[0.75, 0.75]","[-1, -1]",0.0,0,7
19,param_13_1,"[1.0, 0.75]","[-1, -1]",0.0,0,7
20,param_13_1,"[0.0, 1.0]","[-1, -1]",0.0,-6,1
21,param_13_1,"[0.25, 1.0]","[-1, -1]",0.0,2,7
22,param_13_1,"[0.5, 1.0]","[-1, -1]",0.0,0,7
23,param_13_1,"[0.75, 1.0]","[-1, -1]",0.0,0,7
24,param_13_1,"[1.0, 1.0]","[-1, -1]",0.0,0,7
25,param_13_1,"[0.0, 0.0]","[0, 0]",0.0,0,-12
26,param_13_1,"[0.25, 0.0]","[0, 0]",0.0,0,-6
27,param_13_1,"[0.5, 0.0]","[0, 0]",0.0,-1,-6
28,param_13_1,"[0.75, 0.0]","[0, 0]",0.0,-1,-6
29,param_13_1,"[1.0, 0.0]","[0, 0]",0.0,-1,-6
30,param_13_1,"[0.0, 0.25]","[0, 0]",-0.5,0,-6
31,param_13_1,"[0.25, 0.25]","[0, 0]",-0.5,0,0
32,param_13_1,"[0.5, 0.25]","[0, 0]",-0.5,0,-1
33,param_13_1,"[0.75, 0.25]","[0, 0]",-0.5,0,-1
34,param_13_1,"[1.0, 0.25]","[0, 0]",-0.5,0,-1
35,param_13_1,"[0.0, 0.5]","[0, 0]",0.0,-5,-6
36,param_13_1,"[0.25, 0.5]","[0, 0]",0.0,-3,-1
37,param_13_1,"[0.5, 0.5]","[0, 0]",0.0,-3,-1
38,param_13_1,"[0.75, 0.5]","[0, 0]",0.0,-3,-1
39,param_13_1,"[1.0, 0.5]","[0, 0]",0.0,-3,-1
40,param_13_1,"[0.0, 0.75]","[0, 0]",0.0,-5,-6
41,param_13_1,"[0.25, 0.75]","[0, 0]",0.0,-3,-1
42,param_13_1,"[0.5, 0.75]","[0, 0]",0.0,-3,-1
43,param_13_1,"[0.75, 0.75]","[0, 0]",0.0,-3,-1
44,param_13_1,"[1.0, 0.75]","[0, 0]",0.0,-3,-1
45,param_13_1,"[0.0, 1.0]","[0, 0]",0.0,-5,-6
46,param_13_1,"[0.25, 1.0]","[0, 0]",0.0,-3,-1
47,param_13_1,"[0.5, 1.0]","[0, 0]",0.0,-3,-1
48,param_13_1,"[0.75, 1.0]","[0, 0]",0.0,-3,-1
49,param_13_1,"[1.0, 1.0]","[0, 0]",0.0,-3,-1
50,param_13_2,"[0.0, 0.0]","[-1, -1]",0.0,-8,-14
51,param_13_2,"[0.25, 0.0]","[-1, -1]",0.0,-4,-8
52,param_13_2,"[0.5, 0.0]","[-1, -1]",0.0,0,0
53,param_13_2,"[0.75, 0.0]","[-1, -1]",0.0,0,0
54,param_13_2,"[1.0, 0.0]","[-1, -1]",0.0,0,0
55,param_13_2,"[0.0, 0.25]","[-1, -1]",-0.5,-4,-8
56,param_13_2,"[0.25, 0.25]","[-1, -1]",-0.5,-4,-1
57,param_13_2,"[0.5, 0.25]","[-1, -1]",-0.5,0,0
58,param_13_2,"[0.75, 0.25]","[-1, -1]",-0.5,0,0
59,param_13_2,"[1.0, 0.25]","[-1, -1]",-0.5,0,0
60,param_13_2,"[0.0, 0.5]","[-1, -1]",0.0,-5,3
61,param_13_2,"[0.25, 0.5]","[-1, -1]",0.0,0,8
62,param_13_2,"[0.5, 0.5]","[-1, -1]",0.0,0,11
63,param_13_2,"[0.75, 0.5]","[-1, -1]",0.0,0,11
64,param_13_2,"[1.0, 0.5]","[-1, -1]",0.0,0,11
65,param_13_2,"[0.0, 0.75]","[-1, -1]",0.0,-5,3
66,param_13_2,"[0.25, 0.75]","[-1, -1]",0.0,0,8
67,param_13_2,"[0.5, 0.75]","[-1, -1]",0.0,0,11
68,param_13_2,"[0.75, 0.75]","[-1, -1]",0.0,0,11
