,param,initial_risk,intervention,cumlative_risk,travel_time,request_time,label
0,param_1,"[0.0, 0.0]","[-1, -1]",0.0,0,-12,1
1,param_1,"[0.25, 0.0]","[-1, -1]",0.0,-2,-8,1
2,param_1,"[0.0, 0.25]","[-1, -1]",-0.5,5,-8,1
3,param_1,"[0.25, 0.25]","[-1, -1]",0.0,-9,-7,1
4,param_1,"[0.5, 0.0]","[-1, -1]",0.0,0,-12,1
5,param_1,"[0.5, 0.25]","[-1, -1]",0.0,-4,-9,1
6,param_1,"[0.75, 0.0]","[-1, -1]",0.0,0,-12,1
7,param_1,"[0.75, 0.25]","[-1, -1]",0.0,-4,-9,1
8,param_1,"[1.0, 0.0]","[-1, -1]",0.0,0,-12,1
9,param_1,"[1.0, 0.25]","[-1, -1]",0.0,-4,-9,1
10,param_1,"[0.0, 0.5]","[-1, -1]",0.0,0,-7,1
11,param_1,"[0.0, 0.75]","[-1, -1]",0.0,0,-7,1
12,param_1,"[0.0, 1.0]","[-1, -1]",0.0,0,-7,1
13,param_1,"[0.25, 0.5]","[-1, -1]",0.0,-5,-10,1
14,param_1,"[0.25, 0.75]","[-1, -1]",0.0,-5,-10,1
15,param_1,"[0.25, 1.0]","[-1, -1]",0.0,-5,-10,1
16,param_1,"[0.5, 0.5]","[-1, -1]",0.0,0,-6,1
17,param_1,"[0.5, 0.75]","[-1, -1]",0.0,0,-6,1
18,param_1,"[0.5, 1.0]","[-1, -1]",0.0,0,-6,1
19,param_1,"[0.75, 0.5]","[-1, -1]",0.0,0,-6,1
20,param_1,"[0.75, 0.75]","[-1, -1]",0.0,0,-6,1
21,param_1,"[0.75, 1.0]","[-1, -1]",0.0,0,-6,1
22,param_1,"[1.0, 0.5]","[-1, -1]",0.0,0,-6,1
23,param_1,"[1.0, 0.75]","[-1, -1]",0.0,0,-6,1
24,param_1,"[1.0, 1.0]","[-1, -1]",0.0,0,-6,1
25,param_1,"[0.0, 0.0]","[-1, 0]",0.0,0,-12,1
26,param_1,"[0.25, 0.0]","[-1, 0]",0.0,-2,-8,1
27,param_1,"[0.0, 0.25]","[-1, 0]",-0.5,5,-8,1
28,param_1,"[0.25, 0.25]","[-1, 0]",0.0,-5,-7,1
29,param_1,"[0.5, 0.0]","[-1, 0]",0.0,0,-12,1
30,param_1,"[0.5, 0.25]","[-1, 0]",0.0,0,-9,1
31,param_1,"[0.75, 0.0]","[-1, 0]",0.0,0,-12,1
32,param_1,"[0.75, 0.25]","[-1, 0]",0.0,0,-9,1
33,param_1,"[1.0, 0.0]","[-1, 0]",0.0,0,-12,1
34,param_1,"[1.0, 0.25]","[-1, 0]",0.0,0,-9,1
35,param_1,"[0.0, 0.5]","[-1, 0]",0.0,-6,-7,1
36,param_1,"[0.0, 0.75]","[-1, 0]",0.0,-6,-7,1
37,param_1,"[0.0, 1.0]","[-1, 0]",0.0,-6,-7,1
38,param_1,"[0.25, 0.5]","[-1, 0]",0.0,-1,-10,1
39,param_1,"[0.25, 0.75]","[-1, 0]",0.0,-1,-10,1
40,param_1,"[0.25, 1.0]","[-1, 0]",0.0,-1,-10,1
41,param_1,"[0.5, 0.5]","[-1, 0]",0.0,-4,-6,1
42,param_1,"[0.5, 0.75]","[-1, 0]",0.0,-4,-6,1
43,param_1,"[0.5, 1.0]","[-1, 0]",0.0,-4,-6,1
44,param_1,"[0.75, 0.5]","[-1, 0]",0.0,-4,-6,1
45,param_1,"[0.75, 0.75]","[-1, 0]",0.0,-4,-6,1
46,param_1,"[0.75, 1.0]","[-1, 0]",0.0,-4,-6,1
47,param_1,"[1.0, 0.5]","[-1, 0]",0.0,-4,-6,1
48,param_1,"[1.0, 0.75]","[-1, 0]",0.0,-4,-6,1
49,param_1,"[1.0, 1.0]","[-1, 0]",0.0,-4,-6,1
50,param_1,"[0.0, 0.0]","[0, -1]",0.0,0,-12,1
51,param_1,"[0.25, 0.0]","[0, -1]",0.0,-1,-8,1
52,param_1,"[0.0, 0.25]","[0, -1]",-0.5,5,-8,1
53,param_1,"[0.25, 0.25]","[0, -1]",0.0,-7,-7,1
54,param_1,"[0.5, 0.0]","[0, -1]",0.0,1,-12,1
55,param_1,"[0.5, 0.25]","[0, -1]",0.0,-2,-9,1
56,param_1,"[0.75, 0.0]","[0, -1]",0.0,1,-12,1
57,param_1,"[0.75, 0.25]","[0, -1]",0.0,-2,-9,1
58,param_1,"[1.0, 0.0]","[0, -1]",0.0,1,-12,1
59,param_1,"[1.0, 0.25]","[0, -1]",0.0,-2,-9,1
60,param_1,"[0.0, 0.5]","[0, -1]",0.0,0,-7,1
61,param_1,"[0.0, 0.75]","[0, -1]",0.0,0,-7,1
62,param_1,"[0.0, 1.0]","[0, -1]",0.0,0,-7,1
63,param_1,"[0.25, 0.5]","[0, -1]",0.0,-3,-10,1
64,param_1,"[0.25, 0.75]","[0, -1]",0.0,-3,-10,1
65,param_1,"[0.25, 1.0]","[0, -1]",0.0,-3,-10,1
66,param_1,"[0.5, 0.5]","[0, -1]",0.0,2,-6,1
67,param_1,"[0.5, 0.75]","[0, -1]",0.0,2,-6,1
68,param_1,"[0.5, 1.0]","[0, -1]",0.0,2,-6,1
69,param_1,"[0.75, 0.5]","[0, -1]",0.0,2,-6,1
70,param_1,"[0.75, 0.75]","[0, -1]",0.0,2,-6,1
71,param_1,"[0.75, 1.0]","[0, -1]",0.0,2,-6,1
72,param_1,"[1.0, 0.5]","[0, -1]",0.0,2,-6,1
73,param_1,"[1.0, 0.75]","[0, -1]",0.0,2,-6,1
74,param_1,"[1.0, 1.0]","[0, -1]",0.0,2,-6,1
75,param_1,"[0.0, 0.0]","[0, 0]",0.0,0,-12,1
76,param_1,"[0.25, 0.0]","[0, 0]",0.0,-1,-8,1
77,param_1,"[0.0, 0.25]","[0, 0]",-0.5,5,-8,1
78,param_1,"[0.25, 0.25]","[0, 0]",0.0,-4,-7,1
79,param_1,"[0.5, 0.0]","[0, 0]",0.0,1,-12,1
80,param_1,"[0.5, 0.25]","[0, 0]",0.0,1,-9,1
81,param_1,"[0.75, 0.0]","[0, 0]",0.0,1,-12,1
82,param_1,"[0.75, 0.25]","[0, 0]",0.0,1,-9,1
83,param_1,"[1.0, 0.0]","[0, 0]",0.0,1,-12,1
84,param_1,"[1.0, 0.25]","[0, 0]",0.0,1,-9,1
