,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
0,param_1,"[0.0, 0.0]",[20 40],"[-1, -1]",pomdp,0.0,15,0
1,param_1,"[0.0, 0.0]",[20 40],"[-1, -1]",myopic,0.0,15,12
2,param_1,"[0.0, 0.0]",[20 40],"[-1, -1]",egostistical,0.0,15,0
3,param_2,"[0.0, 0.0]",[20 60],"[-1, -1]",pomdp,0.0,15,0
4,param_2,"[0.0, 0.0]",[20 60],"[-1, -1]",myopic,0.0,15,12
5,param_2,"[0.0, 0.0]",[20 60],"[-1, -1]",egostistical,0.0,15,0
6,param_3,"[0.0, 0.0]",[20 80],"[-1, -1]",pomdp,0.0,15,0
7,param_3,"[0.0, 0.0]",[20 80],"[-1, -1]",myopic,0.0,15,12
8,param_3,"[0.0, 0.0]",[20 80],"[-1, -1]",egostistical,0.0,15,0
9,param_4,"[0.0, 0.0]",[ 20 100],"[-1, -1]",pomdp,0.0,15,0
10,param_4,"[0.0, 0.0]",[ 20 100],"[-1, -1]",myopic,0.0,15,12
11,param_4,"[0.0, 0.0]",[ 20 100],"[-1, -1]",egostistical,0.0,15,0
12,param_5,"[0.0, 0.0]",[ 20 120],"[-1, -1]",pomdp,0.0,15,0
13,param_5,"[0.0, 0.0]",[ 20 120],"[-1, -1]",myopic,0.0,15,12
14,param_5,"[0.0, 0.0]",[ 20 120],"[-1, -1]",egostistical,0.0,15,0
15,param_6,"[0.0, 0.0]",[40 60],"[-1, -1]",pomdp,0.0,15,0
16,param_6,"[0.0, 0.0]",[40 60],"[-1, -1]",myopic,0.0,15,12
17,param_6,"[0.0, 0.0]",[40 60],"[-1, -1]",egostistical,0.0,15,0
18,param_7,"[0.0, 0.0]",[40 80],"[-1, -1]",pomdp,0.0,15,0
19,param_7,"[0.0, 0.0]",[40 80],"[-1, -1]",myopic,0.0,15,12
20,param_7,"[0.0, 0.0]",[40 80],"[-1, -1]",egostistical,0.0,15,0
21,param_8,"[0.0, 0.0]",[ 40 100],"[-1, -1]",pomdp,0.0,15,0
22,param_8,"[0.0, 0.0]",[ 40 100],"[-1, -1]",myopic,0.0,15,12
23,param_8,"[0.0, 0.0]",[ 40 100],"[-1, -1]",egostistical,0.0,15,0
24,param_9,"[0.0, 0.0]",[ 40 120],"[-1, -1]",pomdp,0.0,15,0
25,param_9,"[0.0, 0.0]",[ 40 120],"[-1, -1]",myopic,0.0,15,12
26,param_9,"[0.0, 0.0]",[ 40 120],"[-1, -1]",egostistical,0.0,15,0
27,param_10,"[0.0, 0.0]",[ 40 140],"[-1, -1]",pomdp,0.0,15,0
28,param_10,"[0.0, 0.0]",[ 40 140],"[-1, -1]",myopic,0.0,22,12
29,param_10,"[0.0, 0.0]",[ 40 140],"[-1, -1]",egostistical,0.0,15,0
30,param_11,"[0.0, 0.0]",[60 80],"[-1, -1]",pomdp,0.0,15,0
31,param_11,"[0.0, 0.0]",[60 80],"[-1, -1]",myopic,0.0,15,12
32,param_11,"[0.0, 0.0]",[60 80],"[-1, -1]",egostistical,0.0,15,0
33,param_12,"[0.0, 0.0]",[ 60 100],"[-1, -1]",pomdp,0.0,15,0
34,param_12,"[0.0, 0.0]",[ 60 100],"[-1, -1]",myopic,0.0,15,12
35,param_12,"[0.0, 0.0]",[ 60 100],"[-1, -1]",egostistical,0.0,15,0
36,param_13,"[0.0, 0.0]",[ 60 120],"[-1, -1]",pomdp,0.0,15,0
37,param_13,"[0.0, 0.0]",[ 60 120],"[-1, -1]",myopic,0.0,15,12
38,param_13,"[0.0, 0.0]",[ 60 120],"[-1, -1]",egostistical,0.0,15,0
39,param_14,"[0.0, 0.0]",[ 60 140],"[-1, -1]",pomdp,0.0,15,0
40,param_14,"[0.0, 0.0]",[ 60 140],"[-1, -1]",myopic,0.0,22,12
41,param_14,"[0.0, 0.0]",[ 60 140],"[-1, -1]",egostistical,0.0,15,0
42,param_15,"[0.0, 0.0]",[ 60 140],"[-1, -1]",pomdp,0.0,15,0
43,param_15,"[0.0, 0.0]",[ 60 140],"[-1, -1]",myopic,0.0,22,12
44,param_15,"[0.0, 0.0]",[ 60 140],"[-1, -1]",egostistical,0.0,15,0
45,param_16,"[0.0, 0.0]",[ 80 100],"[-1, -1]",pomdp,0.0,15,0
46,param_16,"[0.0, 0.0]",[ 80 100],"[-1, -1]",myopic,0.0,31,12
47,param_16,"[0.0, 0.0]",[ 80 100],"[-1, -1]",egostistical,0.0,15,0
48,param_17,"[0.0, 0.0]",[ 80 120],"[-1, -1]",pomdp,0.0,15,0
49,param_17,"[0.0, 0.0]",[ 80 120],"[-1, -1]",myopic,0.0,31,12
50,param_17,"[0.0, 0.0]",[ 80 120],"[-1, -1]",egostistical,0.0,15,0
51,param_18,"[0.0, 0.0]",[ 80 140],"[-1, -1]",pomdp,0.0,15,0
52,param_18,"[0.0, 0.0]",[ 80 140],"[-1, -1]",myopic,0.0,32,12
53,param_18,"[0.0, 0.0]",[ 80 140],"[-1, -1]",egostistical,0.0,15,0
54,param_19,"[0.0, 0.0]",[100 120],"[-1, -1]",pomdp,0.0,15,0
55,param_19,"[0.0, 0.0]",[100 120],"[-1, -1]",myopic,0.0,34,12
56,param_19,"[0.0, 0.0]",[100 120],"[-1, -1]",egostistical,0.0,15,0
57,param_20,"[0.0, 0.0]",[100 140],"[-1, -1]",pomdp,0.0,15,0
58,param_20,"[0.0, 0.0]",[100 140],"[-1, -1]",myopic,0.0,33,12
59,param_20,"[0.0, 0.0]",[100 140],"[-1, -1]",egostistical,0.0,15,0
60,param_21,"[0.0, 0.0]",[120 140],"[-1, -1]",pomdp,0.0,15,0
61,param_21,"[0.0, 0.0]",[120 140],"[-1, -1]",myopic,0.0,33,12
62,param_21,"[0.0, 0.0]",[120 140],"[-1, -1]",egostistical,0.0,15,0
63,param_1,"[0.0, 0.0]",[20 40],"[-1, 0]",pomdp,0.0,15,0
64,param_1,"[0.0, 0.0]",[20 40],"[-1, 0]",myopic,0.0,15,12
65,param_1,"[0.0, 0.0]",[20 40],"[-1, 0]",egostistical,0.0,15,0
66,param_2,"[0.0, 0.0]",[20 60],"[-1, 0]",pomdp,0.0,15,0
67,param_2,"[0.0, 0.0]",[20 60],"[-1, 0]",myopic,0.0,15,12
68,param_2,"[0.0, 0.0]",[20 60],"[-1, 0]",egostistical,0.0,15,0
69,param_3,"[0.0, 0.0]",[20 80],"[-1, 0]",pomdp,0.0,15,0
70,param_3,"[0.0, 0.0]",[20 80],"[-1, 0]",myopic,0.0,15,12
71,param_3,"[0.0, 0.0]",[20 80],"[-1, 0]",egostistical,0.0,15,0
72,param_4,"[0.0, 0.0]",[ 20 100],"[-1, 0]",pomdp,0.0,15,0
73,param_4,"[0.0, 0.0]",[ 20 100],"[-1, 0]",myopic,0.0,15,12
74,param_4,"[0.0, 0.0]",[ 20 100],"[-1, 0]",egostistical,0.0,15,0
75,param_5,"[0.0, 0.0]",[ 20 120],"[-1, 0]",pomdp,0.0,15,0
76,param_5,"[0.0, 0.0]",[ 20 120],"[-1, 0]",myopic,0.0,15,12
77,param_5,"[0.0, 0.0]",[ 20 120],"[-1, 0]",egostistical,0.0,15,0
78,param_6,"[0.0, 0.0]",[40 60],"[-1, 0]",pomdp,0.0,15,0
79,param_6,"[0.0, 0.0]",[40 60],"[-1, 0]",myopic,0.0,15,12
80,param_6,"[0.0, 0.0]",[40 60],"[-1, 0]",egostistical,0.0,15,0
81,param_7,"[0.0, 0.0]",[40 80],"[-1, 0]",pomdp,0.0,15,0
82,param_7,"[0.0, 0.0]",[40 80],"[-1, 0]",myopic,0.0,15,12
83,param_7,"[0.0, 0.0]",[40 80],"[-1, 0]",egostistical,0.0,15,0
84,param_8,"[0.0, 0.0]",[ 40 100],"[-1, 0]",pomdp,0.0,15,0
