,param,scenario,agent,cumlative_risk,travel_time,request_time
0,param_2_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
1,param_2_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
2,param_2_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
3,param_2_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
4,param_2_1,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
5,param_2_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
6,param_2_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
7,param_2_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
8,param_2_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
9,param_2_2,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
10,param_2_3,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
11,param_2_3,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
12,param_2_3,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
13,param_2_3,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
14,param_2_3,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
15,param_2_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
16,param_2_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
17,param_2_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
18,param_2_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
19,param_2_4,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
20,param_2_5_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
21,param_2_5_1,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
22,param_2_5_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
23,param_2_5_1,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
24,param_2_5_1,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
25,param_2_5_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
26,param_2_5_2,"[0.0, 0.0][-1, -1]",myopic,0.0,26,16
27,param_2_5_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
28,param_2_5_2,"[0.0, 0.0][-1, -1]",myopic,0.0,26,16
29,param_2_5_2,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
30,param_2_5_3,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
31,param_2_5_3,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
32,param_2_5_3,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
33,param_2_5_3,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
34,param_2_5_3,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
35,param_2_5_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
36,param_2_5_4,"[0.0, 0.0][-1, -1]",myopic,0.0,26,16
37,param_2_5_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
38,param_2_5_4,"[0.0, 0.0][-1, -1]",myopic,0.0,26,16
39,param_2_5_4,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
40,param_2_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
41,param_2_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
42,param_2_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
43,param_2_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
44,param_2_6,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
45,param_2_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
46,param_2_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
47,param_2_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
48,param_2_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
49,param_2_7,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
50,param_2_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
51,param_2_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
52,param_2_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
53,param_2_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
54,param_2_8,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
55,param_2_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
56,param_2_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
57,param_2_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
58,param_2_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
59,param_2_9,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
60,param_2_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
61,param_2_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
62,param_2_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
63,param_2_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
64,param_2_10,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
65,param_2_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
66,param_2_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
67,param_2_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
68,param_2_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
69,param_2_11,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
70,param_2_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
71,param_2_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
72,param_2_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
73,param_2_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
74,param_2_12,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
75,param_2_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
76,param_2_13,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
77,param_2_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
