,param,risk,int,agent,cumlative_risk,travel_time,request_time
0,param_2_1,"[0.5, 0.5]","[0, -1]",pomdp,0.0,26,16
1,param_2_1,"[0.5, 0.5]","[0, -1]",myopic,0.0,26,12
2,param_2_1,"[0.5, 0.5]","[0, -1]",egostistical,0,34,0
3,param_2_5_1,"[0.5, 0.5]","[0, -1]",pomdp,0.0,25,16
4,param_2_5_1,"[0.5, 0.5]","[0, -1]",myopic,0.0,25,12
5,param_2_5_1,"[0.5, 0.5]","[0, -1]",egostistical,0,33,0
6,param_2_5_2,"[0.5, 0.5]","[0, -1]",pomdp,0.0,25,15
7,param_2_5_2,"[0.5, 0.5]","[0, -1]",myopic,0.0,25,12
8,param_2_5_2,"[0.5, 0.5]","[0, -1]",egostistical,0,33,0
9,param_2_5_3,"[0.5, 0.5]","[0, -1]",pomdp,0.0,25,16
10,param_2_5_3,"[0.5, 0.5]","[0, -1]",myopic,0.0,25,12
11,param_2_5_3,"[0.5, 0.5]","[0, -1]",egostistical,0,33,0
12,param_2_5_4,"[0.5, 0.5]","[0, -1]",pomdp,0,33,0
13,param_2_5_4,"[0.5, 0.5]","[0, -1]",myopic,0.0,25,12
14,param_2_5_4,"[0.5, 0.5]","[0, -1]",egostistical,0,33,0
