,param,risk,intervention,agent,cumlative_risk,travel_time,request_time
0,param_13_1,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
1,param_13_1,"[0.0, 0.0]","[-1, -1]",myopic,0,34,12
2,param_13_1,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
3,param_13_2,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
4,param_13_2,"[0.0, 0.0]","[-1, -1]",myopic,0,31,12
5,param_13_2,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
6,param_13_3,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
7,param_13_3,"[0.0, 0.0]","[-1, -1]",myopic,0,15,12
8,param_13_3,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
9,param_13_4,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
10,param_13_4,"[0.0, 0.0]","[-1, -1]",myopic,0,15,12
11,param_13_4,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
12,param_13_5,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
13,param_13_5,"[0.0, 0.0]","[-1, -1]",myopic,0,33,12
14,param_13_5,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
15,param_13_6,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
16,param_13_6,"[0.0, 0.0]","[-1, -1]",myopic,0,33,12
17,param_13_6,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
18,param_13_7,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
19,param_13_7,"[0.0, 0.0]","[-1, -1]",myopic,0,32,12
20,param_13_7,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
21,param_13_8,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
22,param_13_8,"[0.0, 0.0]","[-1, -1]",myopic,0,22,12
23,param_13_8,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
24,param_13_9,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
25,param_13_9,"[0.0, 0.0]","[-1, -1]",myopic,0,29,12
26,param_13_9,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
27,param_13_10,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
28,param_13_10,"[0.0, 0.0]","[-1, -1]",myopic,0,31,12
29,param_13_10,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
30,param_13_11,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
31,param_13_11,"[0.0, 0.0]","[-1, -1]",myopic,0,15,12
32,param_13_11,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
33,param_13_12,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
34,param_13_12,"[0.0, 0.0]","[-1, -1]",myopic,0,15,12
35,param_13_12,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
36,param_13_13,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
37,param_13_13,"[0.0, 0.0]","[-1, -1]",myopic,0,15,12
38,param_13_13,"[0.0, 0.0]","[-1, -1]",egostistical,0,15,0
39,param_13_14,"[0.0, 0.0]","[-1, -1]",pomdp,0,15,0
40,param_13_14,"[0.0, 0.0]","[-1, -1]",myopic,0,15,12
