,param,initial_state,intervention,agent,cumlative_risk,travel_time,request_time
0,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
1,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,27,16
2,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
3,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
4,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,23,14
5,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
6,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
7,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,15,12
8,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
9,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
10,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,15,12
11,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
12,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
13,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,24,14
14,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
15,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
16,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,23,13
17,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
18,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
19,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,22,12
20,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
21,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
22,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,27,12
23,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
24,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
25,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,26,14
26,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
27,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
28,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,15,12
29,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
30,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
31,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,15,12
32,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
33,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
34,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,15,12
35,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
36,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
37,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,15,12
38,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
39,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",pomdp,0.0,15,0
40,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",myopic,0.0,15,12
41,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, -1]",egostistical,0.0,15,0
42,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
43,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,24,16
44,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
45,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
46,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,23,14
47,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
48,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
49,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,15,12
50,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
51,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
52,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,15,12
53,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
54,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
55,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,24,14
56,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
57,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
58,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,23,13
59,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
60,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
61,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,15,12
62,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
63,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
64,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,23,12
65,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
66,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
67,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,23,14
68,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
69,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
70,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,15,12
71,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
72,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
73,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,15,12
74,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
75,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
76,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,15,12
77,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
78,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",pomdp,0.0,15,0
79,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",myopic,0.0,15,12
80,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[-1, 0]",egostistical,0.0,15,0
