,agent,intervention,risk-ave,risk-var,risk-count,trav-ave,trav-var,req-ave,req-var
0,pomdp,"[-1, -1]",0.01,0.07014042140491769,5,27.848,5.634882750728521,16.496,7.2106837289786485
1,pomdp,"[-1, 0]",0.01,0.07014042140491769,5,22.496,4.635508142908595,10.06,4.287883367711907
2,pomdp,"[0, -1]",0.01,0.07014042140491769,5,23.312,6.179270956855098,13.82,6.266792701458396
3,pomdp,"[0, 0]",0.01,0.07014042140491769,5,17.304,3.0411475323063515,8.836,3.2600022174580383
4,myopic,"[-1, -1]",0.056,0.1579995424730298,28,28.876,4.997652460954236,13.0,1.6032096321124047
5,myopic,"[-1, 0]",0.056,0.1579995424730298,28,25.452,4.1988351798409385,13.0,1.6032096321124047
6,myopic,"[0, -1]",0.05,0.15030090301053795,25,22.736,4.593769134320722,11.984,0.12572680269402645
7,myopic,"[0, 0]",0.05,0.15030090301053795,25,18.528,2.4464579756264,11.984,0.12572680269402645
8,egostistical,"[-1, -1]",0.194,0.2822812975095849,87,26.868,6.43554511784786,0.0,0.0
9,egostistical,"[-1, 0]",0.194,0.2822812975095849,87,26.868,6.43554511784786,0.0,0.0
10,egostistical,"[0, -1]",0.194,0.2822812975095849,87,26.868,6.43554511784786,0.0,0.0
11,egostistical,"[0, 0]",0.194,0.2822812975095849,87,26.868,6.43554511784786,0.0,0.0
