,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
0,param_1_low_perf,"[0.0, 0.0]","[-1, -1]",0,-16,-12
1,param_1_low_perf,"[0.25, 0.0]","[-1, -1]",1,-12,-9
2,param_1_low_perf,"[0.0, 0.25]","[-1, -1]",0,-5,-5
3,param_1_low_perf,"[0.25, 0.25]","[-1, -1]",0,0,2
4,param_1_low_perf,"[0.5, 0.0]","[-1, -1]",0,-7,-11
5,param_1_low_perf,"[0.5, 0.25]","[-1, -1]",1,-3,-7
6,param_1_low_perf,"[0.75, 0.0]","[-1, -1]",0,-7,-11
7,param_1_low_perf,"[0.75, 0.25]","[-1, -1]",1,-3,-7
8,param_1_low_perf,"[1.0, 0.0]","[-1, -1]",0,-7,-11
9,param_1_low_perf,"[1.0, 0.25]","[-1, -1]",1,-3,-7
10,param_1_low_perf,"[0.0, 0.5]","[-1, -1]",0,-5,-12
11,param_1_low_perf,"[0.0, 0.75]","[-1, -1]",0,-5,-12
12,param_1_low_perf,"[0.0, 1.0]","[-1, -1]",0,-5,-12
13,param_1_low_perf,"[0.25, 0.5]","[-1, -1]",1,-5,-10
14,param_1_low_perf,"[0.25, 0.75]","[-1, -1]",1,-5,-10
15,param_1_low_perf,"[0.25, 1.0]","[-1, -1]",1,-5,-10
16,param_1_low_perf,"[0.5, 0.5]","[-1, -1]",0,0,-5
17,param_1_low_perf,"[0.5, 0.75]","[-1, -1]",0,0,-5
18,param_1_low_perf,"[0.5, 1.0]","[-1, -1]",0,0,-12
19,param_1_low_perf,"[0.75, 0.5]","[-1, -1]",0,0,-5
20,param_1_low_perf,"[0.75, 0.75]","[-1, -1]",0,0,-5
21,param_1_low_perf,"[0.75, 1.0]","[-1, -1]",0,0,-12
22,param_1_low_perf,"[1.0, 0.5]","[-1, -1]",0,0,-5
23,param_1_low_perf,"[1.0, 0.75]","[-1, -1]",0,0,-5
24,param_1_low_perf,"[1.0, 1.0]","[-1, -1]",0,0,-12
25,param_1_low_perf,"[0.0, 0.0]","[-1, 0]",-1,-12,-12
26,param_1_low_perf,"[0.25, 0.0]","[-1, 0]",0,-8,-9
27,param_1_low_perf,"[0.0, 0.25]","[-1, 0]",-1,-5,-5
28,param_1_low_perf,"[0.25, 0.25]","[-1, 0]",-1,1,2
29,param_1_low_perf,"[0.5, 0.0]","[-1, 0]",-1,-3,-11
30,param_1_low_perf,"[0.5, 0.25]","[-1, 0]",0,1,-7
31,param_1_low_perf,"[0.75, 0.0]","[-1, 0]",-1,-3,-11
32,param_1_low_perf,"[0.75, 0.25]","[-1, 0]",0,1,-7
33,param_1_low_perf,"[1.0, 0.0]","[-1, 0]",-1,-3,-11
34,param_1_low_perf,"[1.0, 0.25]","[-1, 0]",0,1,-7
35,param_1_low_perf,"[0.0, 0.5]","[-1, 0]",-1,-1,-12
36,param_1_low_perf,"[0.0, 0.75]","[-1, 0]",-1,-1,-12
37,param_1_low_perf,"[0.0, 1.0]","[-1, 0]",-1,-1,-12
38,param_1_low_perf,"[0.25, 0.5]","[-1, 0]",0,-1,-10
39,param_1_low_perf,"[0.25, 0.75]","[-1, 0]",0,-1,-10
40,param_1_low_perf,"[0.25, 1.0]","[-1, 0]",0,-1,-10
41,param_1_low_perf,"[0.5, 0.5]","[-1, 0]",-1,0,-5
42,param_1_low_perf,"[0.5, 0.75]","[-1, 0]",-1,0,-5
43,param_1_low_perf,"[0.5, 1.0]","[-1, 0]",-1,4,-12
44,param_1_low_perf,"[0.75, 0.5]","[-1, 0]",-1,0,-5
45,param_1_low_perf,"[0.75, 0.75]","[-1, 0]",-1,0,-5
46,param_1_low_perf,"[0.75, 1.0]","[-1, 0]",-1,4,-12
47,param_1_low_perf,"[1.0, 0.5]","[-1, 0]",-1,0,-5
48,param_1_low_perf,"[1.0, 0.75]","[-1, 0]",-1,0,-5
49,param_1_low_perf,"[1.0, 1.0]","[-1, 0]",-1,4,-12
50,param_1_low_perf,"[0.0, 0.0]","[0, -1]",-1,-14,-12
51,param_1_low_perf,"[0.25, 0.0]","[0, -1]",0,-10,-9
52,param_1_low_perf,"[0.0, 0.25]","[0, -1]",-1,-3,-5
53,param_1_low_perf,"[0.25, 0.25]","[0, -1]",1,-4,-3
54,param_1_low_perf,"[0.5, 0.0]","[0, -1]",-1,-5,-11
55,param_1_low_perf,"[0.5, 0.25]","[0, -1]",0,-1,-7
56,param_1_low_perf,"[0.75, 0.0]","[0, -1]",-1,-5,-11
57,param_1_low_perf,"[0.75, 0.25]","[0, -1]",0,-1,-7
58,param_1_low_perf,"[1.0, 0.0]","[0, -1]",-1,-5,-11
59,param_1_low_perf,"[1.0, 0.25]","[0, -1]",0,-1,-7
60,param_1_low_perf,"[0.0, 0.5]","[0, -1]",-1,-3,-12
61,param_1_low_perf,"[0.0, 0.75]","[0, -1]",-1,-3,-12
62,param_1_low_perf,"[0.0, 1.0]","[0, -1]",-1,-3,-12
63,param_1_low_perf,"[0.25, 0.5]","[0, -1]",0,-3,-10
64,param_1_low_perf,"[0.25, 0.75]","[0, -1]",0,-3,-10
65,param_1_low_perf,"[0.25, 1.0]","[0, -1]",0,-3,-10
66,param_1_low_perf,"[0.5, 0.5]","[0, -1]",-1,2,-5
67,param_1_low_perf,"[0.5, 0.75]","[0, -1]",-1,2,-5
68,param_1_low_perf,"[0.5, 1.0]","[0, -1]",-1,2,-12
69,param_1_low_perf,"[0.75, 0.5]","[0, -1]",-1,2,-5
70,param_1_low_perf,"[0.75, 0.75]","[0, -1]",-1,2,-5
71,param_1_low_perf,"[0.75, 1.0]","[0, -1]",-1,2,-12
72,param_1_low_perf,"[1.0, 0.5]","[0, -1]",-1,2,-5
73,param_1_low_perf,"[1.0, 0.75]","[0, -1]",-1,2,-5
