,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
0,param_1_low,"[0.0, 0.0]","[-1, -1]",0,-16,-10
1,param_1_low,"[0.25, 0.0]","[-1, -1]",1,-16,-10
2,param_1_low,"[0.0, 0.25]","[-1, -1]",0,-4,-5
3,param_1_low,"[0.25, 0.25]","[-1, -1]",2,-16,-10
4,param_1_low,"[0.5, 0.0]","[-1, -1]",0,-8,-10
5,param_1_low,"[0.5, 0.25]","[-1, -1]",0,0,-6
6,param_1_low,"[0.75, 0.0]","[-1, -1]",0,-8,-10
7,param_1_low,"[0.75, 0.25]","[-1, -1]",0,0,-6
8,param_1_low,"[1.0, 0.0]","[-1, -1]",0,-8,-10
9,param_1_low,"[1.0, 0.25]","[-1, -1]",0,0,-6
10,param_1_low,"[0.0, 0.5]","[-1, -1]",0,-3,-9
11,param_1_low,"[0.0, 0.75]","[-1, -1]",0,-3,-9
12,param_1_low,"[0.0, 1.0]","[-1, -1]",0,-5,-10
13,param_1_low,"[0.25, 0.5]","[-1, -1]",1,-5,-10
14,param_1_low,"[0.25, 0.75]","[-1, -1]",1,-5,-10
15,param_1_low,"[0.25, 1.0]","[-1, -1]",1,-5,-10
16,param_1_low,"[0.5, 0.5]","[-1, -1]",0,0,-10
17,param_1_low,"[0.5, 0.75]","[-1, -1]",0,0,-10
18,param_1_low,"[0.5, 1.0]","[-1, -1]",0,0,-10
19,param_1_low,"[0.75, 0.5]","[-1, -1]",0,0,-10
20,param_1_low,"[0.75, 0.75]","[-1, -1]",0,0,-10
21,param_1_low,"[0.75, 1.0]","[-1, -1]",0,0,-10
22,param_1_low,"[1.0, 0.5]","[-1, -1]",0,0,-10
23,param_1_low,"[1.0, 0.75]","[-1, -1]",0,0,-10
24,param_1_low,"[1.0, 1.0]","[-1, -1]",0,0,-10
25,param_1_low,"[0.0, 0.0]","[-1, 0]",-1,-10,-10
26,param_1_low,"[0.25, 0.0]","[-1, 0]",0,-10,-10
27,param_1_low,"[0.0, 0.25]","[-1, 0]",-1,2,-5
