,param,risk,position,intervention,agent,cumlative_risk,cumlative_risk_low,cumlative_risk_high,travel_time,request_time,request_count
0,param_1_low,"[0.0, 0.0]",[20 40],"[-1, -1]",pomdp,0,0,0,15,0,0
1,param_1_low,"[0.0, 0.0]",[20 40],"[-1, -1]",myopic,0,0,0,31,10,2
2,param_1_low,"[0.0, 0.0]",[20 40],"[-1, -1]",egoistical,0,0,0,15,0,0
3,param_1_low,"[0.0, 0.0]",[20 40],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
4,param_2_low,"[0.0, 0.0]",[20 60],"[-1, -1]",pomdp,0,0,0,15,0,0
5,param_2_low,"[0.0, 0.0]",[20 60],"[-1, -1]",myopic,0,0,0,33,10,2
6,param_2_low,"[0.0, 0.0]",[20 60],"[-1, -1]",egoistical,0,0,0,15,0,0
7,param_2_low,"[0.0, 0.0]",[20 60],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
8,param_3_low,"[0.0, 0.0]",[20 80],"[-1, -1]",pomdp,0,0,0,15,0,0
9,param_3_low,"[0.0, 0.0]",[20 80],"[-1, -1]",myopic,0,0,0,36,10,2
10,param_3_low,"[0.0, 0.0]",[20 80],"[-1, -1]",egoistical,0,0,0,15,0,0
11,param_3_low,"[0.0, 0.0]",[20 80],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
12,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, -1]",pomdp,0,0,0,15,0,0
13,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, -1]",myopic,0,0,0,34,10,2
14,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, -1]",egoistical,0,0,0,15,0,0
15,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
16,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, -1]",pomdp,0,0,0,15,0,0
17,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, -1]",myopic,0,0,0,35,10,2
18,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, -1]",egoistical,0,0,0,15,0,0
19,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
20,param_6_low,"[0.0, 0.0]",[40 60],"[-1, -1]",pomdp,0,0,0,15,0,0
21,param_6_low,"[0.0, 0.0]",[40 60],"[-1, -1]",myopic,0,0,0,34,10,2
22,param_6_low,"[0.0, 0.0]",[40 60],"[-1, -1]",egoistical,0,0,0,15,0,0
23,param_6_low,"[0.0, 0.0]",[40 60],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
24,param_7_low,"[0.0, 0.0]",[40 80],"[-1, -1]",pomdp,0,0,0,15,0,0
25,param_7_low,"[0.0, 0.0]",[40 80],"[-1, -1]",myopic,0,0,0,36,10,2
26,param_7_low,"[0.0, 0.0]",[40 80],"[-1, -1]",egoistical,0,0,0,15,0,0
27,param_7_low,"[0.0, 0.0]",[40 80],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
28,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, -1]",pomdp,0,0,0,15,0,0
29,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, -1]",myopic,0,0,0,39,10,2
30,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, -1]",egoistical,0,0,0,15,0,0
31,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
32,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, -1]",pomdp,0,0,0,15,0,0
33,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, -1]",myopic,0,0,0,37,10,2
34,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, -1]",egoistical,0,0,0,15,0,0
35,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
36,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, -1]",pomdp,0,0,0,15,0,0
37,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, -1]",myopic,0,0,0,37,10,2
38,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, -1]",egoistical,0,0,0,15,0,0
39,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
