,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
0,param_1,"[0.0, 0.0]","[-1, -1]",0,-16,-12
1,param_1,"[0.25, 0.0]","[-1, -1]",0,-8,-7
2,param_1,"[0.0, 0.25]","[-1, -1]",0,-7,-6
3,param_1,"[0.25, 0.25]","[-1, -1]",0,0,-1
4,param_1,"[0.5, 0.0]","[-1, -1]",0,-7,-11
5,param_1,"[0.5, 0.25]","[-1, -1]",0,0,-6
6,param_1,"[0.75, 0.0]","[-1, -1]",0,-7,-11
7,param_1,"[0.75, 0.25]","[-1, -1]",0,0,-6
8,param_1,"[1.0, 0.0]","[-1, -1]",0,-7,-11
9,param_1,"[1.0, 0.25]","[-1, -1]",0,0,-6
10,param_1,"[0.0, 0.5]","[-1, -1]",0,-5,-6
11,param_1,"[0.0, 0.75]","[-1, -1]",0,-5,-6
12,param_1,"[0.0, 1.0]","[-1, -1]",0,-5,-6
13,param_1,"[0.25, 0.5]","[-1, -1]",0,0,-1
14,param_1,"[0.25, 0.75]","[-1, -1]",0,0,-1
15,param_1,"[0.25, 1.0]","[-1, -1]",0,0,-1
16,param_1,"[0.5, 0.5]","[-1, -1]",0,0,-6
17,param_1,"[0.5, 0.75]","[-1, -1]",0,0,-6
18,param_1,"[0.5, 1.0]","[-1, -1]",0,0,-6
19,param_1,"[0.75, 0.5]","[-1, -1]",0,0,-6
20,param_1,"[0.75, 0.75]","[-1, -1]",0,0,-6
21,param_1,"[0.75, 1.0]","[-1, -1]",0,0,-6
22,param_1,"[1.0, 0.5]","[-1, -1]",0,0,-6
23,param_1,"[1.0, 0.75]","[-1, -1]",0,0,-6
24,param_1,"[1.0, 1.0]","[-1, -1]",0,0,-6
25,param_1,"[0.0, 0.0]","[-1, 0]",0,-12,-12
26,param_1,"[0.25, 0.0]","[-1, 0]",0,-4,-7
27,param_1,"[0.0, 0.25]","[-1, 0]",0,-6,-6
28,param_1,"[0.25, 0.25]","[-1, 0]",0,-1,-1
29,param_1,"[0.5, 0.0]","[-1, 0]",0,-3,-11
30,param_1,"[0.5, 0.25]","[-1, 0]",0,-2,-6
31,param_1,"[0.75, 0.0]","[-1, 0]",0,-3,-11
32,param_1,"[0.75, 0.25]","[-1, 0]",0,-2,-6
33,param_1,"[1.0, 0.0]","[-1, 0]",0,-3,-11
34,param_1,"[1.0, 0.25]","[-1, 0]",0,-2,-6
35,param_1,"[0.0, 0.5]","[-1, 0]",0,-4,-6
36,param_1,"[0.0, 0.75]","[-1, 0]",0,-4,-6
37,param_1,"[0.0, 1.0]","[-1, 0]",0,-4,-6
38,param_1,"[0.25, 0.5]","[-1, 0]",0,-1,-1
39,param_1,"[0.25, 0.75]","[-1, 0]",0,-1,-1
40,param_1,"[0.25, 1.0]","[-1, 0]",0,-1,-1
41,param_1,"[0.5, 0.5]","[-1, 0]",0,-2,-6
42,param_1,"[0.5, 0.75]","[-1, 0]",0,-2,-6
43,param_1,"[0.5, 1.0]","[-1, 0]",0,-2,-6
44,param_1,"[0.75, 0.5]","[-1, 0]",0,-2,-6
45,param_1,"[0.75, 0.75]","[-1, 0]",0,-2,-6
46,param_1,"[0.75, 1.0]","[-1, 0]",0,-2,-6
47,param_1,"[1.0, 0.5]","[-1, 0]",0,-2,-6
48,param_1,"[1.0, 0.75]","[-1, 0]",0,-2,-6
49,param_1,"[1.0, 1.0]","[-1, 0]",0,-2,-6
50,param_1,"[0.0, 0.0]","[0, -1]",0,-14,-12
51,param_1,"[0.25, 0.0]","[0, -1]",0,-8,-7
52,param_1,"[0.0, 0.25]","[0, -1]",0,-5,-6
53,param_1,"[0.25, 0.25]","[0, -1]",0,0,0
54,param_1,"[0.5, 0.0]","[0, -1]",0,-5,-11
55,param_1,"[0.5, 0.25]","[0, -1]",0,2,-6
56,param_1,"[0.75, 0.0]","[0, -1]",0,-5,-11
57,param_1,"[0.75, 0.25]","[0, -1]",0,2,-6
58,param_1,"[1.0, 0.0]","[0, -1]",0,-5,-11
59,param_1,"[1.0, 0.25]","[0, -1]",0,2,-6
60,param_1,"[0.0, 0.5]","[0, -1]",0,-3,-6
61,param_1,"[0.0, 0.75]","[0, -1]",0,-3,-6
62,param_1,"[0.0, 1.0]","[0, -1]",0,-3,-6
63,param_1,"[0.25, 0.5]","[0, -1]",0,0,0
64,param_1,"[0.25, 0.75]","[0, -1]",0,0,0
65,param_1,"[0.25, 1.0]","[0, -1]",0,0,0
66,param_1,"[0.5, 0.5]","[0, -1]",0,2,-6
67,param_1,"[0.5, 0.75]","[0, -1]",0,2,-6
68,param_1,"[0.5, 1.0]","[0, -1]",0,2,-6
69,param_1,"[0.75, 0.5]","[0, -1]",0,2,-6
70,param_1,"[0.75, 0.75]","[0, -1]",0,2,-6
71,param_1,"[0.75, 1.0]","[0, -1]",0,2,-6
72,param_1,"[1.0, 0.5]","[0, -1]",0,2,-6
73,param_1,"[1.0, 0.75]","[0, -1]",0,2,-6
74,param_1,"[1.0, 1.0]","[0, -1]",0,2,-6
75,param_1,"[0.0, 0.0]","[0, 0]",0,-11,-12
76,param_1,"[0.25, 0.0]","[0, 0]",0,-5,-7
77,param_1,"[0.0, 0.25]","[0, 0]",0,-5,-6
78,param_1,"[0.25, 0.25]","[0, 0]",0,0,0
79,param_1,"[0.5, 0.0]","[0, 0]",0,-2,-11
80,param_1,"[0.5, 0.25]","[0, 0]",0,-1,-6
81,param_1,"[0.75, 0.0]","[0, 0]",0,-2,-11
82,param_1,"[0.75, 0.25]","[0, 0]",0,-1,-6
83,param_1,"[1.0, 0.0]","[0, 0]",0,-2,-11
84,param_1,"[1.0, 0.25]","[0, 0]",0,-1,-6
85,param_1,"[0.0, 0.5]","[0, 0]",0,-3,-6
86,param_1,"[0.0, 0.75]","[0, 0]",0,-3,-6
87,param_1,"[0.0, 1.0]","[0, 0]",0,-3,-6
88,param_1,"[0.25, 0.5]","[0, 0]",0,0,0
89,param_1,"[0.25, 0.75]","[0, 0]",0,0,0
90,param_1,"[0.25, 1.0]","[0, 0]",0,0,0
91,param_1,"[0.5, 0.5]","[0, 0]",0,-1,-6
