,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
0,param_1_low_perf,"[0.0, 0.0]",[20 40],"[-1, -1]",pomdp,0,15,0
1,param_1_low_perf,"[0.0, 0.0]",[20 40],"[-1, -1]",myopic,0,31,12
2,param_1_low_perf,"[0.0, 0.0]",[20 40],"[-1, -1]",egostistical,0,15,0
3,param_2_low_perf,"[0.0, 0.0]",[20 60],"[-1, -1]",pomdp,0,15,0
4,param_2_low_perf,"[0.0, 0.0]",[20 60],"[-1, -1]",myopic,0,31,12
5,param_2_low_perf,"[0.0, 0.0]",[20 60],"[-1, -1]",egostistical,0,15,0
6,param_3_low_perf,"[0.0, 0.0]",[20 80],"[-1, -1]",pomdp,0,15,0
7,param_3_low_perf,"[0.0, 0.0]",[20 80],"[-1, -1]",myopic,0,33,12
8,param_3_low_perf,"[0.0, 0.0]",[20 80],"[-1, -1]",egostistical,0,15,0
9,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[-1, -1]",pomdp,0,15,0
10,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[-1, -1]",myopic,0,32,12
11,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[-1, -1]",egostistical,0,15,0
12,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[-1, -1]",pomdp,0,15,0
13,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[-1, -1]",myopic,0,32,12
14,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[-1, -1]",egostistical,0,15,0
15,param_6_low_perf,"[0.0, 0.0]",[40 60],"[-1, -1]",pomdp,0,15,0
16,param_6_low_perf,"[0.0, 0.0]",[40 60],"[-1, -1]",myopic,0,34,12
17,param_6_low_perf,"[0.0, 0.0]",[40 60],"[-1, -1]",egostistical,0,15,0
18,param_7_low_perf,"[0.0, 0.0]",[40 80],"[-1, -1]",pomdp,0,15,0
19,param_7_low_perf,"[0.0, 0.0]",[40 80],"[-1, -1]",myopic,0,34,12
20,param_7_low_perf,"[0.0, 0.0]",[40 80],"[-1, -1]",egostistical,0,15,0
21,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[-1, -1]",pomdp,0,15,0
22,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[-1, -1]",myopic,0,36,12
23,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[-1, -1]",egostistical,0,15,0
24,param_1_low_perf,"[0.0, 0.0]",[20 40],"[-1, 0]",pomdp,0,15,0
25,param_1_low_perf,"[0.0, 0.0]",[20 40],"[-1, 0]",myopic,1,27,12
26,param_1_low_perf,"[0.0, 0.0]",[20 40],"[-1, 0]",egostistical,0,15,0
27,param_2_low_perf,"[0.0, 0.0]",[20 60],"[-1, 0]",pomdp,0,15,0
28,param_2_low_perf,"[0.0, 0.0]",[20 60],"[-1, 0]",myopic,1,27,12
29,param_2_low_perf,"[0.0, 0.0]",[20 60],"[-1, 0]",egostistical,0,15,0
30,param_3_low_perf,"[0.0, 0.0]",[20 80],"[-1, 0]",pomdp,0,15,0
